Domain,Status,Response Code
http://netmail031gh.gmarket.co.kr,Timeout,N/A
http://ecoupon.gmarket.co.kr,Connection Error,N/A
http://ebay.gmarket.co.kr,Success,200
http://bluepebble.gmarket.co.kr,Connection Error,N/A
http://mail6.gmarket.co.kr,Error 472,472
http://shipapi.gmarket.co.kr,Connection Error,N/A
http://dwa.m.gmarket.co.kr,Error 403,403
http://massmail11.gmarket.co.kr,Timeout,N/A
http://mg.gmarket.co.kr,Success,200
http://dev.gmarket.co.kr,Timeout,N/A
http://m.gmarket.co.kr,Error 403,403
http://realscript.gmarket.co.kr,Error 403,403
http://rpp.gmarket.co.kr,Success,200
http://sslgdimg1.gmarket.co.kr,Success,200
http://gsearch.gmarket.co.kr,Success,200
http://script.gmarket.co.kr,Error 403,403
http://gmapi.gmarkei.gmarket.co.kr,Connection Error,N/A
http://realsna.gmarket.co.kr,Error 403,403
http://netmail32.gmarket.co.kr,Timeout,N/A
http://ngmktauto013gm.gmarket.co.kr,Timeout,N/A
http://airlotte.gmarket.co.kr,Success,200
http://myg.gmarket.co.kr,Success,200
http://admin.gmarket.co.kr,Timeout,N/A
http://devspweb.gmarket.co.kr,Timeout,N/A
http://netmail12gm.gmarket.co.kr,Timeout,N/A
http://realgmemberssl.gmarket.co.kr,Timeout,N/A
http://netmail13gm.gmarket.co.kr,Timeout,N/A
http://netmail44.gmarket.co.kr,Timeout,N/A
http://ngmktauto011gm.gmarket.co.kr,Timeout,N/A
http://tpl.gmarket.co.kr,Timeout,N/A
