Domain,Status,Response Code
sslescrow.gmarket.co.kr,Connection Error,N/A
cart.gmarket.co.kr,Success,200
gbank.gmarket.co.kr,Success,200
netmail01gm.gmarket.co.kr,Error 472,472
netmail039gh.gmarket.co.kr,Timeout,N/A
realmitem.gmarket.co.kr,Success,200
mgmyg.gmarket.co.kr,Success,200
pluscard.gmarket.co.kr,Error 403,403
netmail02.gmarket.co.kr,Error 472,472
ngmktauto022gm.gmarket.co.kr,Timeout,N/A
dwa.www.gmarket.co.kr,Error 403,403
zeromargin.gmarket.co.kr,Connection Error,N/A
event.gmarket.co.kr,Error 403,403
realglobal.gmarket.co.kr,Success,200
realmember2.gmarket.co.kr,Success,200
club.gmarket.co.kr,Success,200
gmapissl.gmarket.co.kr,Error 403,403
gshop.gmarket.co.kr,Success,200
promotion.gmarket.co.kr,Error 403,403
uiscript.gmarket.co.kr,Connection Error,N/A
adcenter.gmarket.co.kr,Connection Error,N/A
gwms2.gmarket.co.kr,Connection Error,N/A
help.gmarket.co.kr,Success,200
netmail037gh.gmarket.co.kr,Timeout,N/A
mobile.gmarket.co.kr,Error 403,403
stimage.gmarket.co.kr,Connection Error,N/A
gpromotion.gmarket.co.kr,Success,200
discount.gmarket.co.kr,Connection Error,N/A
netmail51.gmarket.co.kr,Timeout,N/A
search.gmarket.co.kr,Error 403,403
airdev.gmarket.co.kr,Timeout,N/A
searchapi.gmarket.co.kr,Connection Error,N/A
www.miracle.gmarket.co.kr,Connection Error,N/A
link-ecoupon.gmarket.co.kr,Timeout,N/A
sslimage.gmarket.co.kr,Error 500,500
massmail12.gmarket.co.kr,Timeout,N/A
images.gmarket.co.kr,Timeout,N/A
netmail03gm.gmarket.co.kr,Timeout,N/A
pluszone.gmarket.co.kr,Success,200
realgsignin.gmarket.co.kr,Success,200
smileclub.gmarket.co.kr,Success,200
sslmember2.gmarket.co.kr,Timeout,N/A
utsssl.gmarket.co.kr,Error 404,404
netmail52.gmarket.co.kr,Timeout,N/A
glaggr.gmarket.co.kr,Error 404,404
ngmktauto06gm.gmarket.co.kr,Timeout,N/A
realmescrow.gmarket.co.kr,Success,200
gen.gmarket.co.kr,Connection Error,N/A
gmyg.gmarket.co.kr,Success,200
sslgdimg3.gmarket.co.kr,Success,200
img.gmarket.co.kr,Connection Error,N/A
utsgw.gmarket.co.kr,Error 404,404
massmail52.gmarket.co.kr,Timeout,N/A
netmail41.gmarket.co.kr,Timeout,N/A
netmail54.gmarket.co.kr,Timeout,N/A
netmail14gm.gmarket.co.kr,Timeout,N/A
netmail18gm.gmarket.co.kr,Timeout,N/A
utsdev.gmarket.co.kr,Timeout,N/A
gmemberssl.gmarket.co.kr,Timeout,N/A
ngmktauto014gm.gmarket.co.kr,Timeout,N/A
massmail24.gmarket.co.kr,Timeout,N/A
my.gmarket.co.kr,Success,200
alim.gmarket.co.kr,Success,200
elsa-fe.gmarket.co.kr,Success,200
netmail09gm.gmarket.co.kr,Timeout,N/A
goodsimg.gmarket.co.kr,Success,200
sslgoodsimg.gmarket.co.kr,Success,200
carsdaq.gmarket.co.kr,Error 403,403
ebaydev.gmarket.co.kr,Timeout,N/A
mmyg.gmarket.co.kr,Success,200
netmail038gh.gmarket.co.kr,Timeout,N/A
picsdev.gmarket.co.kr,Timeout,N/A
sslgdimg4.gmarket.co.kr,Success,200
gcorner.gmarket.co.kr,Success,200
netmail53.gmarket.co.kr,Timeout,N/A
fr.gmarket.co.kr,Timeout,N/A
mail9.gmarket.co.kr,Timeout,N/A
pds.gmarket.co.kr,Success,200
uts.gmarket.co.kr,Error 404,404
englishalt.gmarket.co.kr,Connection Error,N/A
ewms01.gmarket.co.kr,Connection Error,N/A
mtwelve.gmarket.co.kr,Connection Error,N/A
mx1.gmarket.co.kr,Timeout,N/A
ngmktauto023gm.gmarket.co.kr,Timeout,N/A
ticketevent.gmarket.co.kr,Connection Error,N/A
gcategory.gmarket.co.kr,Success,200
www.mescrow.gmarket.co.kr,Connection Error,N/A
ewms02.gmarket.co.kr,Connection Error,N/A
ats.gmarket.co.kr,Error 404,404
lottehome.gmarket.co.kr,Error 500,500
pdsssl.gmarket.co.kr,Success,200
gdimg3.gmarket.co.kr,Success,200
gms.gmarket.co.kr,Connection Error,N/A
airmode.gmarket.co.kr,Connection Error,N/A
rpppre.gmarket.co.kr,Timeout,N/A
signin.gmarket.co.kr,Success,200
mmygdev.gmarket.co.kr,Connection Error,N/A
home2.gmarket.co.kr,Success,200
netmail031gh.gmarket.co.kr,Timeout,N/A
partnerapi.gmarket.co.kr,Error 403,403
gdimg4.gmarket.co.kr,Success,200
shinhancard.gmarket.co.kr,Error 403,403
realmg.gmarket.co.kr,Success,200
realmyg.gmarket.co.kr,Success,200
www.gsm.gmarket.co.kr,Connection Error,N/A
gtouchpay.gmarket.co.kr,Connection Error,N/A
gwms.gmarket.co.kr,Connection Error,N/A
eventnet.gmarket.co.kr,Success,200
massmail11.gmarket.co.kr,Timeout,N/A
dev.gmarket.co.kr,Timeout,N/A
greceipt.gmarket.co.kr,Error 403,403
mair.gmarket.co.kr,Success,200
gi.gmarket.co.kr,Error 403,403
ticketnotice.gmarket.co.kr,Connection Error,N/A
netmail32.gmarket.co.kr,Timeout,N/A
fbapp.gmarket.co.kr,Timeout,N/A
gift.gmarket.co.kr,Success,200
ngmktauto013gm.gmarket.co.kr,Timeout,N/A
spacegate.gmarket.co.kr,Error 403,403
escrow.gmarket.co.kr,Success,200
mobilecom.gmarket.co.kr,Connection Error,N/A
admin.gmarket.co.kr,Timeout,N/A
montelena.gmarket.co.kr,Error 404,404
ticket.gmarket.co.kr,Success,200
tpm.gmarket.co.kr,Connection Error,N/A
shipapi.gmarket.co.kr,Connection Error,N/A
netmail31.gmarket.co.kr,Error 472,472
devspweb.gmarket.co.kr,Timeout,N/A
glrpp.gmarket.co.kr,Success,200
netmail12gm.gmarket.co.kr,Timeout,N/A
realgmemberssl.gmarket.co.kr,Timeout,N/A
ecoupon.gmarket.co.kr,Connection Error,N/A
ebay.gmarket.co.kr,Success,200
bluepebble.gmarket.co.kr,Connection Error,N/A
mail6.gmarket.co.kr,Error 472,472
netmail13gm.gmarket.co.kr,Timeout,N/A
dwa.m.gmarket.co.kr,Error 403,403
m.gmarket.co.kr,Error 403,403
mg.gmarket.co.kr,Success,200
netmail44.gmarket.co.kr,Timeout,N/A
realscript.gmarket.co.kr,Error 403,403
realsna.gmarket.co.kr,Error 403,403
rpp.gmarket.co.kr,Success,200
sslgdimg1.gmarket.co.kr,Success,200
gsearch.gmarket.co.kr,Success,200
script.gmarket.co.kr,Error 403,403
gmapi.gmarkei.gmarket.co.kr,Connection Error,N/A
ngmktauto011gm.gmarket.co.kr,Timeout,N/A
tpl.gmarket.co.kr,Timeout,N/A
myg.gmarket.co.kr,Success,200
airlotte.gmarket.co.kr,Success,200
